feature,shap_importance,rf_importance
Prompt Perplexity,0.0926840493407671,0.20689239804024065
Function Calls,0.08729717466895658,0.13879921426650363
Pylint Convention Issues,0.06903604936670217,0.10259502608713379
Pylint Error Issues,0.025087624885393827,0.05325463111241298
Pylint Warning Issues,0.02007938325488024,0.029228524356505248
Solution Code Length,0.019904538633945156,0.05216433508985838
Problem Description Length,0.014535388509292367,0.034732114011340326
Maintainability Index,0.013055051003743483,0.03557190082000866
Statement Gunning Fog Index,0.01267867571991161,0.032006569809334494
Pylint Refactor Issues,0.012129922906415043,0.014036195774111027
Cognitive Complexity,0.01200038684378838,0.026396191166758242
Lines of Code,0.011994731497959647,0.0316585305507879
Halstead Bugs,0.011828436588606443,0.03224561142909177
Statement Flesch-Kincaid Grade,0.011828232402193304,0.03389162497237021
Halstead Volume,0.011488038180536194,0.031275441019142085
Halstead Effort,0.010932618021596873,0.02844921944556471
Halstead Difficulty,0.010530589640119398,0.029737379566618403
Halstead Time,0.010436499683676138,0.026963839676316277
Logical Lines of Code,0.008133843675950221,0.022227791297237714
Comment Lines,0.007326045555705167,0.012341337295440541
Cyclomatic Complexity,0.0062629312129816915,0.015635525802656775
Problem Difficulty Level,0.004745951265609859,0.009520427884611804
Total Security Issues,3.9964650535988155e-05,0.0002495708048484446
Security Severity Types,1.3197275810231454e-05,7.922358325545588e-05
Security Confidence Types,7.496136505013858e-06,4.737613785042242e-05
