feature,coefficient,abs_coefficient,odds_ratio,or_ci_lower,or_ci_upper,perm_importance_mean,perm_importance_std,type
Logical Lines of Code,0.46421544326885716,0.46421544326885716,1.590765653276686,0.7145731183058232,3.333389053281134,0.10125339791230811,0.0177010243180489,Other
Prompt Perplexity,0.4017385019789874,0.4017385019789874,1.4944204935748135,1.2471684762065898,2.2166639068807306,0.03493035119253191,0.022235707380659952,Other
Statement Flesch-Kincaid Grade,0.3490901919623882,0.3490901919623882,1.417777056670612,0.9300996380524013,2.1961977113246265,-0.006059956678192968,0.014183308698950832,Other
Halstead Time,0.34879357437876174,0.34879357437876174,1.4173565814291993,0.700300549885938,2.5486665016768075,-0.0013030860637627299,0.007847537409300184,Other
Halstead Effort,0.34879357437875785,0.34879357437875785,1.4173565814291937,0.7003005498859354,2.548666501676809,-0.0013030860637627299,0.007847537409300184,Other
Pylint Error Issues,0.3377283473601242,0.3377283473601242,1.4017596599669984,1.090870702831894,1.7990443525735664,-0.017105764293024874,0.0178825863679827,Other
Cognitive Complexity,0.28308011283494083,0.28308011283494083,1.3272114842327731,0.38029221074009006,3.9860244136375744,-0.007287063752358444,0.004806877145236106,Other
Comment Lines,0.2149279855608919,0.2149279855608919,1.2397726122219144,0.9839215634826133,1.4705456377315151,-0.01568773688575183,0.008539801158747862,Other
Cyclomatic Complexity,0.1544158405032059,0.1544158405032059,1.1669760618065048,0.8391761828326068,2.213399142056432,0.014181985095958633,0.007671569161255031,Other
Solution Code Length,0.14844061579673135,0.14844061579673135,1.160023908633397,0.5281663409099229,1.5711863832483441,0.003305070611535917,0.005082409878458779,Other
Halstead Bugs,0.01764727050618753,0.01764727050618753,1.017803903610016,0.6603223948711883,2.2254144698140697,-0.001991192618102376,0.0005942127352892094,Other
Halstead Volume,0.017647270506165002,0.017647270506165002,1.017803903609993,0.6603223948711988,2.2254144698140808,-0.001991192618102376,0.0005942127352892094,Other
Problem Description Length,-0.08109804206558033,0.08109804206558033,0.9221032821022654,0.714862206046464,1.1511852787829207,-0.005815366843369183,0.004231521583166865,Other
Total Security Issues,-0.10413910527134032,0.10413910527134032,0.9010999409507433,0.8800025085634672,0.9319719435630349,0.0003403232210905142,0.002001832226771125,Other
Halstead Difficulty,-0.14240032839648697,0.14240032839648697,0.8672739925739873,0.6296535916687319,1.1687690175063936,0.0025588852700023294,0.004095772450110303,Other
Security Severity Types,-0.15226637298730542,0.15226637298730542,0.8587594999385878,0.8307751445431596,0.9153745979162584,0.0011521839904028183,0.005049226848499949,Other
Security Confidence Types,-0.15226637298730542,0.15226637298730542,0.8587594999385878,0.8307751445431596,0.9153745979162584,0.0011521839904028183,0.005049226848499949,Other
Problem Difficulty Level,-0.16080981512435574,0.16080981512435574,0.8514539893805468,0.6671282645966973,1.0242769690332088,-0.009554091311422205,0.007158770071811346,Other
Statement Gunning Fog Index,-0.20111407242264892,0.20111407242264892,0.817819135622625,0.5079853614986111,1.3213874531044003,0.009523392198127525,0.007673172417985459,Other
Maintainability Index,-0.33298730681755556,0.33298730681755556,0.7167792923082862,0.5314666648482522,0.9231409245989042,0.02614046815486979,0.00941567444383001,Other
Pylint Warning Issues,-0.504353442897765,0.504353442897765,0.6038959024138165,0.3749554110490619,0.8452855757072831,0.01048366814650688,0.014028185007765885,Other
Lines of Code,-0.5435633912376638,0.5435633912376638,0.5806753877649026,0.2498094329348156,1.1849288038970698,0.0013028914473283341,0.012794115875167454,Other
Pylint Refactor Issues,-0.6065825010973278,0.6065825010973278,0.5452109466695314,0.3562372899116599,0.7507918671770518,0.002814554066173062,0.010399791155249125,Other
Pylint Convention Issues,-0.6537143599255013,0.6537143599255013,0.5201103075883234,0.22691357086370287,1.0604800997069057,0.018475855098296783,0.009961992520207968,Other
Function Calls,-0.8749051922288059,0.8749051922288059,0.41690154331103374,0.2690212756094861,0.5412517159837197,0.10585305052711344,0.0292633897506534,Other
