feature,shap_importance,rf_importance
Prompt Perplexity,0.08070232034622489,0.17647896861238488
Function Calls,0.07543428799617488,0.13895468415217438
Pylint Convention Issues,0.07462796886066833,0.11269138655094417
Pylint Warning Issues,0.03940128743166694,0.05092308338942124
Pylint Error Issues,0.032816715365474064,0.07224338624972317
Solution Code Length,0.019129674224063514,0.047391472575353116
Problem Description Length,0.016223990775930983,0.038604707916033806
Maintainability Index,0.015575731682842915,0.038712512673276044
Lines of Code,0.014327242903003546,0.0308136945123624
Halstead Bugs,0.011615250369860084,0.029589709956786895
Statement Flesch-Kincaid Grade,0.011382166861300794,0.030511905413104327
Statement Gunning Fog Index,0.011152156488845861,0.028389440309807317
Cognitive Complexity,0.011127976657671294,0.02504041938921328
Logical Lines of Code,0.01073913157283072,0.02377249702268564
Halstead Difficulty,0.010280732556246732,0.028167126372828283
Comment Lines,0.009836748546450513,0.01153704812758116
Halstead Volume,0.009438558912486121,0.031610290095673954
Halstead Effort,0.009024981395337663,0.02652964201057996
Halstead Time,0.008960164677900674,0.020967179071576
Cyclomatic Complexity,0.008039907864566227,0.016986962069376846
Pylint Refactor Issues,0.006567728560375762,0.01026554808171574
Problem Difficulty Level,0.006112790884128166,0.009652738235655368
Security Severity Types,2.0958640212076744e-05,7.838388731349134e-05
Security Confidence Types,1.3588673443961495e-05,5.192284174288948e-05
Total Security Issues,6.02156888782678e-06,3.529048268552701e-05
