feature,coefficient,abs_coefficient,odds_ratio,or_ci_lower,or_ci_upper,perm_importance_mean,perm_importance_std,type
Pylint Error Issues,0.8237822341005784,0.8237822341005784,2.279103660022004,1.8719278523519935,2.793728268580257,0.05660473663747099,0.013829242168485429,Other
Pylint Convention Issues,0.38750586319498587,0.38750586319498587,1.4733015918481975,1.1129526859130463,2.513811812963382,0.010607257613665972,0.00793613611503136,Other
API Calls,0.3380181028455456,0.3380181028455456,1.4021658863680382,1.188084181624743,1.8237166020448607,0.02004473530458545,0.009295062066329376,Other
Halstead Effort,0.33634592700003485,0.33634592700003485,1.3998231776977648,0.8754457544341913,2.166406664950377,0.005156711682619827,0.005813665272245258,Other
Halstead Time,0.33634592700002314,0.33634592700002314,1.3998231776977483,0.8754457544342004,2.1664066649503826,0.005156711682619827,0.005813665272245258,Other
Total Security Issues,0.3247816857130851,0.3247816857130851,1.3837285252970366,0.9966205035704873,1.6598620517863503,0.0,0.0,Other
Lines of Code,0.3029362939667031,0.3029362939667031,1.35382821466968,0.6764533419348109,2.9762407136267424,0.021828975171767236,0.012004072703333375,Other
Halstead Difficulty,0.20232008153782166,0.20232008153782166,1.2242398019634988,1.0263068076254187,1.4409905967452432,0.003364295331462419,0.0072978754459321615,Other
Pylint Warning Issues,0.1391382079600667,0.1391382079600667,1.1492829290767983,0.9692799224856142,1.3593187507388365,0.0013310186384078067,0.004335220824736263,Other
Maintainability Index,0.13277684599596176,0.13277684599596176,1.1419951291087553,0.9371237198266913,1.4229938928394867,0.004876698682463399,0.003064713844764516,Other
Prompt Perplexity,0.10638492139366922,0.10638492139366922,1.1122499229095715,0.9799164407385496,1.3255861759247844,0.0007678540921966255,0.004104249654443082,Other
Halstead Bugs,0.1046646455446287,0.1046646455446287,1.1103381910536207,0.732075915437165,2.2114781307054345,0.0006707611058625015,0.001880287541746537,Other
Halstead Volume,0.10466464554461964,0.10466464554461964,1.1103381910536105,0.7320759154371521,2.2114781307054314,0.0006707611058625015,0.001880287541746537,Other
Cyclomatic Complexity,0.09336237201586992,0.09336237201586992,1.0978594967538944,0.7530803573686594,1.558740407091994,0.004118398454364066,0.004431527993244229,Other
Problem Difficulty Level,0.09263255871372776,0.09263255871372776,1.0970585565932223,0.9689838488479325,1.1930989416731324,0.003214238422618735,0.002595105169043287,Other
Statement Flesch-Kincaid Grade,0.06911061418529679,0.06911061418529679,1.0715547317467382,0.8381026362748252,1.3779802957649478,0.0013233866008851753,0.0022366924953302605,Other
Cognitive Complexity,0.05605207921160963,0.05605207921160963,1.0576527640244369,0.5780562571719919,1.9812056206795163,0.0003361346760466547,0.0004712085004632394,Other
Solution Code Length,0.02102346254186248,0.02102346254186248,1.021246012383755,0.6286011699110454,2.076264371420524,0.0002789060308608926,0.00048719685043286634,Other
Comment Lines,-0.0514866301891581,0.0514866301891581,0.9498163487422264,0.7064402296171773,1.3107979059019192,-0.0009474704488774929,0.0012171641413985569,Other
Statement Gunning Fog Index,-0.05694679087573302,0.05694679087573302,0.9446443317269384,0.6898458818207394,1.2309889203770386,-0.0004331933327068382,0.001811837124000357,Other
Security Severity Types,-0.09929231367411796,0.09929231367411796,0.9054779857376176,0.7931820608619794,1.1781620297906272,0.0,0.0,Other
Security Confidence Types,-0.09929231367411796,0.09929231367411796,0.9054779857376176,0.7931820608619794,1.1781620297906272,0.0,0.0,Other
Problem Description Length,-0.11352958605831283,0.11352958605831283,0.8926777852034776,0.7667001655704195,0.9954105016422061,0.004729945052428464,0.003043542886513845,Other
Pylint Refactor Issues,-0.30698943660415684,0.30698943660415684,0.7356583719167971,0.5717389584838528,0.8886951358665393,0.000863593646282638,0.003927144763587986,Other
Logical Lines of Code,-0.40268239726421284,0.40268239726421284,0.6685243907850551,0.26372071943809894,1.3467257490382072,0.003594098802631048,0.005081259982157327,Other
