feature,shap_importance,rf_importance
Prompt Perplexity,0.07991145571391518,0.14144296783651183
Function Calls,0.020978661407626994,0.05076289571756337
Pylint Error Issues,0.018598092561092,0.0190021136473491
Pylint Convention Issues,0.018247439433309247,0.03672853000158988
Problem Description Length,0.0164713572754034,0.056752654790207156
Solution Code Length,0.01642456172598212,0.06374344163477944
Halstead Time,0.015944744916374983,0.0529529227107572
Pylint Warning Issues,0.014241288747480091,0.023387682390086286
Halstead Effort,0.012687888919860155,0.049430060982266155
Halstead Difficulty,0.01240815131738929,0.04690418964309562
Halstead Bugs,0.011643217069287773,0.04754478998239149
Maintainability Index,0.011438051491577709,0.05499234690455103
Statement Flesch-Kincaid Grade,0.010461271530676776,0.05578900180510113
Cognitive Complexity,0.009510005235722093,0.036822338961255405
Statement Gunning Fog Index,0.00935129466381174,0.05708005710707608
Halstead Volume,0.009186096694583154,0.04868961668372828
Logical Lines of Code,0.007262348904079706,0.041652276346981
Lines of Code,0.006731688137243982,0.04538590118978066
Cyclomatic Complexity,0.005027260733505975,0.02507367222559768
Comment Lines,0.004973489245841098,0.01654072731508822
Pylint Refactor Issues,0.0047581478492145,0.013255963763142451
Problem Difficulty Level,0.004644180515930289,0.01601440586799102
Security Severity Types,1.1959915719990394e-05,3.116553412952887e-05
Security Confidence Types,7.681906905422752e-06,2.0276958979827836e-05
Total Security Issues,1.368892437331049e-20,6.763304383489056e-20
