feature,shap_importance,rf_importance
Prompt Perplexity,0.09729903649222826,0.18536964172371234
Function Calls,0.024321893244163017,0.0516156584534437
Solution Code Length,0.020225836188316602,0.06310918621979289
Pylint Warning Issues,0.015547183094617296,0.027642582475341383
Halstead Effort,0.014354408664698063,0.049358573283071035
Halstead Time,0.014051500135096947,0.05109565381500637
Problem Description Length,0.013246003481351994,0.05496670026246138
Pylint Convention Issues,0.013168290301077286,0.030795707009314464
Pylint Error Issues,0.012959436690666279,0.016131018141249648
Halstead Difficulty,0.00957484069358326,0.04679241921012514
Lines of Code,0.00946983042962939,0.03992979893084737
Maintainability Index,0.008347588554123462,0.05085388752222756
Halstead Volume,0.007647640204333361,0.039162311163883426
Statement Flesch-Kincaid Grade,0.0073920642061987875,0.0482290896157673
Halstead Bugs,0.007032211705394155,0.04554783268188681
Cognitive Complexity,0.006742558681472637,0.03806085686535358
Logical Lines of Code,0.006495497839002485,0.03589791754548622
Statement Gunning Fog Index,0.006255260481519486,0.0458550583431417
Cyclomatic Complexity,0.00559244999515757,0.027578281220576217
Pylint Refactor Issues,0.004967216477397641,0.017008513211642876
Problem Difficulty Level,0.004509113474038906,0.015241839394334074
Comment Lines,0.004381094286241314,0.019091352081493297
Total Security Issues,7.02256764975051e-05,0.0003695485049707147
Security Severity Types,3.929800107015727e-05,0.00020127095786243892
Security Confidence Types,1.7963732894717127e-05,9.530136700808457e-05
